,species,island,sex,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
0,Gentoo,Biscoe,MALE,59.523632,16.384596,228.56757,5263.597
1,Chinstrap,Dream,FEMALE,59.097057,17.433973,202.55685,4238.5386
2,Gentoo,Biscoe,FEMALE,57.27528,14.330669,223.02301,4758.803
3,Adelie,Biscoe,FEMALE,54.27514,16.709745,205.8726,3071.2812
4,Adelie,Torgersen,FEMALE,50.47129,18.020058,193.86392,4005.338
5,Chinstrap,Dream,MALE,59.50222,19.171825,211.25095,4190.544
6,Adelie,Torgersen,FEMALE,50.480076,17.97997,193.80211,3990.2283
7,Chinstrap,Dream,MALE,59.502605,19.155079,211.3155,4191.2817
8,Adelie,Biscoe,FEMALE,54.38841,16.499897,206.14293,3040.2827
9,Adelie,Torgersen,MALE,54.911854,20.24461,202.4123,4335.1846
10,Gentoo,Biscoe,MALE,59.52373,16.237038,228.7003,5289.8135
11,Chinstrap,Dream,MALE,59.49747,19.267971,210.88791,4177.959
12,Gentoo,Biscoe,FEMALE,57.242485,14.372597,223.27534,4781.475
13,Gentoo,Biscoe,FEMALE,56.987835,14.294929,223.10585,4761.948
14,Chinstrap,Dream,MALE,59.51117,19.268066,211.02953,4164.778
15,Gentoo,Biscoe,MALE,59.516563,16.356092,228.6701,5292.715
16,Adelie,Dream,FEMALE,51.20544,17.90892,195.61879,3685.7642
17,Adelie,Dream,FEMALE,51.311523,17.864588,195.82314,3636.1016
18,Adelie,Torgersen,FEMALE,50.439148,17.724054,193.16374,3935.2273
19,Chinstrap,Dream,FEMALE,59.106495,17.34417,203.27965,4291.462
20,Adelie,Biscoe,FEMALE,54.28915,16.467525,205.87695,3064.8103
21,Adelie,Dream,MALE,51.66313,19.332,199.31693,4783.7134
22,Chinstrap,Dream,MALE,59.501648,19.107553,211.46227,4199.0537
23,Gentoo,Biscoe,FEMALE,57.320118,14.355294,223.09752,4748.0464
24,Adelie,Dream,MALE,51.6504,19.30168,199.8527,4784.9595
25,Chinstrap,Dream,FEMALE,59.183403,17.508617,204.46869,4366.0156
26,Gentoo,Biscoe,MALE,59.52201,16.446299,228.62881,5275.4185
27,Gentoo,Biscoe,FEMALE,57.297565,14.346,223.0359,4820.8086
28,Chinstrap,Dream,FEMALE,59.104965,17.563503,203.83772,4313.5093
29,Chinstrap,Dream,MALE,59.502697,19.15842,211.29001,4194.853
30,Adelie,Torgersen,FEMALE,50.462696,17.902294,193.59363,3975.3213
31,Adelie,Dream,FEMALE,51.14133,17.752491,195.10382,3671.4377
32,Gentoo,Biscoe,MALE,59.506226,16.312786,228.41869,5265.4106
33,Chinstrap,Dream,MALE,59.505634,19.26089,210.98267,4174.551
34,Adelie,Biscoe,MALE,51.462654,19.561287,204.92407,4552.5747
35,Adelie,Torgersen,MALE,55.094315,20.250673,202.43193,4328.518
36,Adelie,Torgersen,MALE,54.986607,20.247072,202.42026,4332.478
37,Adelie,Dream,FEMALE,51.23492,18.101263,196.12291,3722.7637
38,Adelie,Torgersen,MALE,55.172855,20.253336,202.4406,4325.5825
39,Gentoo,Biscoe,MALE,59.51035,16.271704,228.33636,5247.5938
40,Chinstrap,Dream,FEMALE,59.13774,17.451225,203.23944,4300.7847
41,Chinstrap,Dream,MALE,59.507988,19.213924,211.1891,4173.472
42,Gentoo,Biscoe,MALE,59.514072,16.282661,228.55208,5277.497
43,Adelie,Dream,FEMALE,51.030777,17.701204,194.68968,3699.7944
44,Chinstrap,Dream,MALE,59.503944,19.094511,211.53261,4197.4287
45,Chinstrap,Dream,FEMALE,59.122234,17.630959,203.93521,4338.5005
46,Gentoo,Biscoe,MALE,59.52271,16.448492,228.5255,5256.5137
47,Adelie,Torgersen,FEMALE,50.46415,17.997686,193.7979,4001.8618
48,Adelie,Torgersen,MALE,54.796364,20.240856,202.40016,4339.3003
49,Chinstrap,Dream,MALE,59.50961,19.166386,211.36983,4177.7085
50,Adelie,Dream,FEMALE,51.217926,18.04533,195.9514,3715.0298
51,Adelie,Torgersen,FEMALE,50.47479,18.031004,193.8963,4007.0425
52,Adelie,Biscoe,FEMALE,54.30212,16.591438,206.89519,3078.0027
53,Gentoo,Biscoe,MALE,59.52707,16.445581,228.71918,5283.353
54,Gentoo,Biscoe,FEMALE,57.291206,14.391994,223.30577,4835.373
55,Adelie,Torgersen,MALE,54.272354,20.224556,202.34784,4357.0767
56,Adelie,Biscoe,FEMALE,54.215164,16.786497,206.79185,3098.7134
57,Adelie,Torgersen,FEMALE,50.479168,18.044706,193.9369,4009.1802
58,Gentoo,Biscoe,MALE,59.521896,16.391518,228.45535,5247.288
