Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
species;island;sex;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;realvsfake
Gentoo;Biscoe;MALE;59.523632;16.384596;228.56757;5263.597;fake
Chinstrap;Dream;FEMALE;59.097057;17.433973;202.55685;4238.5386;fake
Gentoo;Biscoe;FEMALE;57.27528;14.330669;223.02301;4758.803;fake
Adelie;Biscoe;FEMALE;54.27514;16.709745;205.8726;3071.2812;fake
Adelie;Torgersen;FEMALE;50.47129;18.020058;193.86392;4005.338;fake
Chinstrap;Dream;MALE;59.50222;19.171825;211.25095;4190.544;fake
Adelie;Torgersen;FEMALE;50.480076;17.97997;193.80211;3990.2283;fake
Chinstrap;Dream;MALE;59.502605;19.155079;211.3155;4191.2817;fake
Adelie;Biscoe;FEMALE;54.38841;16.499897;206.14293;3040.2827;fake
Adelie;Torgersen;MALE;54.911854;20.24461;202.4123;4335.1846;fake
Gentoo;Biscoe;MALE;59.52373;16.237038;228.7003;5289.8135;fake
Chinstrap;Dream;MALE;59.49747;19.267971;210.88791;4177.959;fake
Gentoo;Biscoe;FEMALE;57.242485;14.372597;223.27534;4781.475;fake
Gentoo;Biscoe;FEMALE;56.987835;14.294929;223.10585;4761.948;fake
Chinstrap;Dream;MALE;59.51117;19.268066;211.02953;4164.778;fake
Gentoo;Biscoe;MALE;59.516563;16.356092;228.6701;5292.715;fake
Adelie;Dream;FEMALE;51.20544;17.90892;195.61879;3685.7642;fake
Adelie;Dream;FEMALE;51.311523;17.864588;195.82314;3636.1016;fake
Adelie;Torgersen;FEMALE;50.439148;17.724054;193.16374;3935.2273;fake
Chinstrap;Dream;FEMALE;59.106495;17.34417;203.27965;4291.462;fake
Adelie;Biscoe;FEMALE;54.28915;16.467525;205.87695;3064.8103;fake
Adelie;Dream;MALE;51.66313;19.332;199.31693;4783.7134;fake
Chinstrap;Dream;MALE;59.501648;19.107553;211.46227;4199.0537;fake
Gentoo;Biscoe;FEMALE;57.320118;14.355294;223.09752;4748.0464;fake
Adelie;Dream;MALE;51.6504;19.30168;199.8527;4784.9595;fake
